Subject	Run	TrialNum 	 CueOnset 	 TargetOnset 	 ResponseTime 	 TargetStream 	 StimCat 	 Correct 	 ResponseChar 	 CueType 	 NumSeed/StartSide 	 Context
2	1	1	16.00742382	16.25742095	1.311851853	1	2	1	49	2	2093289000	1
2	1	2	26.0074196	26.25743605	0.803399569	1	2	1	49	1	21	0
2	1	3	34.00740692	34.25742186	1.212378129	1	2	1	49	1	2	0
2	1	4	44.00740058	44.25740979	0.886069851	1	1	1	54	1	1	0
2	1	5	54.0073873	54.2573956	0.934068259	1	1	1	54	1	3	0
2	1	6	64.00739696	64.25740103	0.863780272	2	1	0	49	2	0	0
2	1	7	74.00736979	74.25736994	1.101547855	1	2	1	49	2	0	0
2	1	8	82.00736073	82.25736752	1.170463553	2	2	1	49	2	0	0
2	1	9	90.00735228	90.25735726	1.094315416	1	2	1	49	2	0	0
2	1	10	100.0073384	100.2573458	0.728894797	2	1	1	54	2	0	0
2	1	11	110.007333	110.2573358	1.361762289	2	1	1	54	1	0	0
2	1	12	118.0073206	118.2573401	1.303714417	2	1	1	54	1	0	0
2	1	13	128.0073109	128.2573165	0.796498883	2	2	0	54	1	0	0
2	1	14	136.0073103	136.2573111	0.971238085	1	1	0	49	2	0	0
2	1	15	144.0072979	144.2573062	1.285090714	1	1	1	54	1	0	0
2	1	16	152.0072832	152.2572963	0.963929877	1	1	1	54	1	0	0
2	1	17	160.0072792	160.2572821	0.887643787	2	2	1	49	2	0	0
2	1	18	168.0072644	168.2572773	1.223665852	1	1	1	54	2	0	0
2	1	19	176.0072675	176.2572694	1.000112898	2	2	0	54	2	0	0
2	1	20	186.0072481	186.2572582	1.149441213	2	2	1	49	1	0	0
2	1	21	196.0072385	196.2572489	1.681194936	1	2	1	49	2	0	3
2	1	22	206.0072339	206.2572353	1.965968991	2	2	1	49	2	0	0
2	1	23	216.0072173	216.257225	1.105665626	2	2	1	49	1	0	0
2	1	24	226.0072071	226.2572193	0.872621965	1	1	1	54	2	0	0
2	1	25	234.0072092	234.2572051	1.430224885	2	1	1	54	2	0	0
2	1	26	242.0071884	242.2571924	1.330110296	1	1	1	54	2	0	0
2	1	27	250.0071814	250.257187	1.075066547	1	2	1	49	1	0	0
2	1	28	258.0071736	258.2571825	1.301716357	2	2	1	49	2	0	0
2	1	29	268.0071663	268.2571707	1.407797655	1	2	0	54	2	0	0
2	1	30	278.007154	278.2571556	1.092612885	2	1	1	54	2	0	0
2	1	31	286.0071458	286.2571475	1.50012286	2	1	1	54	1	0	0
2	1	32	294.0071549	294.2571544	1.097174401	1	1	1	54	2	0	0
2	1	33	302.007125	302.2571287	1.02397913	2	2	1	49	2	0	0
2	1	34	312.0071132	312.2571221	1.081913802	1	1	1	54	2	0	0
2	1	35	320.007122	320.2571155	1.425761475	1	1	1	54	1	0	0
2	1	36	330.0070987	330.2571073	0.667434315	2	1	1	54	2	0	0
2	1	37	340.0070833	340.2570934	0.768269159	1	2	1	49	2	0	0
2	1	38	350.0070758	350.2570801	1.104067541	1	1	1	54	1	0	0
2	1	39	358.0070703	358.2571143	1.426797182	2	2	1	49	2	0	0
2	1	40	366.0070595	366.2570644	0.875488799	1	2	1	49	2	0	0
2	1	41	374.0070471	374.2570539	1.212636527	1	2	1	49	1	0	2
2	1	42	382.0070601	382.2570611	0	1	2	0	0	1	0	0
2	1	43	390.0070498	390.25705	0.774386198	2	2	1	49	2	0	0
2	1	44	400.0070359	400.2570243	0	2	1	0	0	1	0	0
2	1	45	408.00701	408.2569965	1.144993199	2	1	1	54	1	0	0
2	1	46	416.0070241	416.2570207	0.851749955	2	1	1	54	1	0	0
2	1	47	426.006994	426.2569908	1.020616027	1	2	1	49	2	0	0
2	1	48	436.0069813	436.2569923	0.878212245	1	2	1	49	1	0	0
2	1	49	446.006974	446.2569763	0.680255827	1	2	1	49	1	0	0
2	1	50	454.0069629	454.2569709	0.935088269	1	1	1	54	1	0	0
2	1	51	464.0069574	464.2569612	1.778823647	2	1	1	54	2	0	0
2	1	52	474.0069402	474.2569546	1.077554235	2	1	1	54	1	0	0
2	1	53	484.0069336	484.2569383	0.817353686	2	2	1	49	1	0	0
2	1	54	494.0069203	494.2569292	1.47008465	1	1	1	54	2	0	0
2	1	55	502.0069158	502.256922	1.833921975	1	1	1	54	1	0	0
2	1	56	510.0069028	510.256922	1.264828778	1	1	1	54	1	0	0
2	1	57	520.0068925	520.2569023	1.128423703	2	2	0	54	2	0	0
2	1	58	528.0068814	528.2568918	1.578578471	2	1	1	54	1	0	0
2	1	59	538.0068723	538.2568803	0.890346405	2	2	1	49	1	0	0
2	1	60	546.0068633	546.2568746	0.790205554	2	2	1	49	1	0	0
2	2	1	14.00714882	14.2571532	0.795276622	1	2	1	49	2	2139192000	1
2	2	2	22.00715546	22.25714384	0.750113351	2	2	1	49	2	21	0
2	2	3	32.00714671	32.2571381	1.103903929	1	1	1	54	2	2	0
2	2	4	42.00712739	42.2571215	1.00786153	2	2	1	49	2	1	0
2	2	5	50.00712014	50.25711305	1.262702123	2	1	1	54	1	3	0
2	2	6	60.00710958	60.25710339	0.93144141	2	2	1	49	1	0	0
2	2	7	68.00710867	68.25709765	1.283340789	1	1	1	54	2	0	0
2	2	8	78.00708935	78.25707984	1.152150171	1	1	1	54	1	0	0
2	2	9	86.00707788	86.25707562	0	2	2	0	0	2	0	0
2	2	10	96.00705102	96.25706354	1.598774298	2	2	1	49	1	0	0
2	2	11	104.0070525	104.2570533	0.882528344	2	1	1	54	1	0	0
2	2	12	112.0070549	112.2570457	1.528322397	2	1	1	54	1	0	0
2	2	13	120.0070377	120.2570394	1.269295508	1	1	1	54	2	0	0
2	2	14	130.0070248	130.2570252	1.058047873	2	2	1	49	2	0	0
2	2	15	140.0070003	140.2570104	0.871811753	2	1	1	54	1	0	0
2	2	16	148.0070048	148.2570044	1.410618001	2	1	0	49	1	0	0
2	2	17	156.0069967	156.256992	1.364481812	1	2	1	49	2	0	0
2	2	18	166.0069855	166.2570083	1.37621811	1	1	1	54	1	0	0
2	2	19	176.0069743	176.2569724	0	1	2	0	0	1	0	0
2	2	20	186.0069466	186.2569534	0.971995771	2	2	1	49	2	0	0
2	2	21	194.0069632	194.2569485	0.913835001	1	2	1	49	2	0	3
2	2	22	202.0069411	202.2569407	0.882545248	2	2	1	49	2	0	0
2	2	23	212.0069327	212.2569289	1.187407364	2	1	1	54	1	0	0
2	2	24	222.0069185	222.2569114	1.044275479	1	2	1	49	2	0	0
2	2	25	232.0069091	232.2569048	0.864957856	2	1	1	54	2	0	0
2	2	26	242.0069061	242.2568897	1.142730402	1	2	1	49	2	0	0
2	2	27	250.0068895	250.2568873	1.170644976	1	1	1	54	1	0	0
2	2	28	260.0068832	260.2568676	0.862387155	2	1	1	54	2	0	0
2	2	29	270.0068672	270.2568604	1.143317835	2	2	1	49	1	0	0
2	2	30	278.0068675	278.2568583	0	1	2	0	0	2	0	0
