SubID	 HoldMH	 ShiftMH	 HoldEQ	 ShiftEQ	 HoldMS	 ShiftMS	 
2	76.66666667	75	82.5	87.5	75	68.33333333
6	96.66666667	90	87.5	100	95	96.66666667
8	98.33333333	90	90	92.5	90	91.66666667
9	96.66666667	100	97.5	95	95	93.33333333
10	98.33333333	95	100	92.5	100	100
11	93.33333333	95	95	97.5	85	95
12	95	95	92.5	90	95	90
13	96.66666667	95	97.5	100	90	98.33333333
15	86.66666667	100	82.5	90	85	85
16	95	80	95	90	90	95
19	100	100	97.5	95	95	100
20	93.33333333	90	92.5	80	85	81.66666667
21	90	95	92.5	90	95	95
22	93.33333333	100	100	97.5	100	95
23	100	100	95	97.5	95	100
24	96.66666667	95	97.5	95	100	98.33333333
25	91.66666667	80	95	95	75	80
26	96.66666667	95	97.5	100	100	98.33333333
27	96.66666667	95	100	90	90	95
28	98.33333333	95	100	100	95	98.33333333
29	91.66666667	75	92.5	97.5	100	96.66666667
30	91.66666667	85	92.5	90	80	95
31	95	90	97.5	95	90	96.66666667
