SubID	 HoldMH	 ShiftMH	 HoldEQ	 ShiftEQ	 HoldMS	 ShiftMS	 
2	1000.191505	1279.530057	1151.28329	1054.578565	1164.710325	1101.627842
6	954.9732785	1094.803307	1074.063971	926.7443962	1089.245416	908.1111046
8	890.2797219	884.7951252	871.0966484	894.482108	961.8292806	855.8901429
9	929.5014249	1081.57628	1004.42947	1101.834802	1045.962613	1022.411767
10	948.9658649	1179.755978	889.6589699	1039.531794	1055.289967	1112.119673
11	1076.53675	1041.858604	1031.90878	974.7752763	1027.829638	1004.380737
12	1144.897191	1237.69483	1057.207799	1114.745905	1245.085615	1201.543514
13	840.930897	926.3521342	839.4012395	917.356532	881.5863052	818.7846472
15	1069.951012	1167.262025	1167.837103	1197.09981	1149.189892	1131.579185
16	1217.794935	1289.468563	1220.251297	1268.295183	1345.871245	1258.0882
19	877.0986812	1032.097863	866.4198657	984.9574355	889.2218707	892.7992407
20	979.0285715	1153.046605	1035.545877	1070.657293	1069.807797	989.2893161
21	974.0197935	1168.030688	1001.159397	1025.245427	1094.607134	1092.666728
22	898.5987377	953.9161166	905.5208675	1112.472141	941.8377181	975.0425285
23	860.9870846	1045.060049	842.8296218	1046.228748	911.3541281	992.6527331
24	951.404717	1084.02931	989.7701037	1008.560092	971.4395681	996.7223062
25	922.1635008	1040.271101	989.2849388	1021.370666	1028.804744	881.0087807
26	826.5354787	896.3772619	794.1192816	918.2204896	958.1446225	946.3138696
27	1005.059918	1056.960651	1029.513938	1108.602588	1124.87602	1089.084535
28	843.6144512	967.3035656	857.8707974	966.5779969	895.065384	940.6772652
29	1236.971052	1415.125116	1280.826227	1211.318889	1362.925858	1274.520216
30	1130.321145	1279.926188	1091.840857	1181.422257	1143.879228	1113.658115
31	894.8147144	885.2605013	1013.249897	985.4171759	1184.171076	927.5266884
