MH_Hold	EQ_Hold	MS_Hold	MH_Shift	EQ_Shift	MS_Shift
0.122264	-0.010246	0.009943	0.062028	0.199662	0.138136
0.171435	0.197258	0.29431	0.403678	0.265144	0.228537
0.579763	0.624486	0.571124	0.575444	0.660065	0.468417
0.722548	0.727748	0.61955	0.921576	0.814417	0.654412
0.204457	0.185526	0.435239	0.175817	0.1872	0.266654
0.461742	0.524961	0.366984	0.710973	0.674557	0.388747
0.129406	0.084679	0.213223	0.168309	0.131988	0.224031
0.549718	0.394895	0.895806	0.40144	0.93003	0.316605
0.05189	-0.124955	-0.073268	0.051867	-0.09132	-0.151084
0.213893	0.256998	0.046056	0.289757	0.194696	0.100788
0.203604	0.366274	0.665479	0.51073	0.422552	0.394832
0.502481	0.656715	0.540147	0.647029	0.488967	0.330988
0.736529	0.6211	0.80684	0.704166	0.780831	0.698071
0.004149	-0.000756	-0.018772	0.09872	0.084673	0.004484
0.627666	0.547179	0.798196	0.654378	0.603884	0.727223
0.405413	0.413137	0.59886	0.353751	0.386923	0.527698
0.069186	0.133204	0.071294	-0.005801	0.202471	0.112302
0.459599	0.524929	0.628972	0.589397	0.641649	0.612919
-0.05832	-0.114641	-0.17296	0.280162	-0.025295	0.006531
0.039532	0.039755	0.151366	0.177877	0.079676	0.048229
0.130491	0.227165	0.405771	0.288487	0.255508	0.302768
0.228922	0.330741	0.264194	0.324149	0.342978	0.305846
-0.08279	0.147278	-0.034236	0.1103	0.04501	-0.054497
